Time Stamp,Region ID,Filtered,RSS,CL1,CL2,CL3,Red Info,GSS,RP1H,RP1L,EDR,Green R^2,Green Info,VSS,RP2H,RP2L,Violet Spare1,Violet R^2,Violet Info,Bead Info
935426412,500,0,9846.39063,10584.54297,6454.29297,7600.42188,0,1150.08594,5.97852,1.30273,10467.76855,0,0,3231.12109,8.33203,13.65625,0,0,0,0
935433027,71,0,11981.92969,57.92578,4811.53516,2088.32031,0,1100.34375,24868.10352,178552.3281,1187604.25,0,1,3961.17578,6.34375,13.3418,0,0,0,0
935441620,22,0,11205.41406,1309.375,214.25391,58.45313,0,1132.02734,32.09766,27.26758,0,0,0,3910.63672,198.04883,196.98242,0,0,0,0
935450990,352,0,13297.80078,705.59375,1465.16406,2981.8125,0,1001.86328,8948.11133,8953.60352,51520.1875,0,0,4282.67578,7.49219,8.75977,0,0,0,0
935451569,102,0,10727.53125,59.28516,93.82031,153.35938,0,1839.60156,23209.68555,74324.40625,443975.6563,0,1,4033.73828,8.19531,2.42578,0,0,0,0
935454813,6,0,13634.40625,59.71094,79.58594,29.57422,0,1281.93359,3.00391,0,0,0,0,4441.21094,12.14258,16.89063,0,0,0,0
935467413,6,0,12830.55078,54.22656,68.10547,27.53516,0,1115.66406,4.04688,4.26758,10338.99121,0,0,3921.16406,10.64453,8.58008,0,0,0,0
935468926,6,0,13348.39453,55.8125,70.24219,30.19922,0,1036.90234,0,0,0,0,0,4098.72656,14.46094,13.38672,0,0,0,0
935482035,96,0,11016.68359,2390.56641,12940.28906,6565.11719,0,1406.42578,10.92773,13.83594,56588.5,0,0,3112.89453,32.83398,31.93945,0,0,0,0
935484277,153,0,11767.51172,58.33203,4935.08594,9047.42578,0,1004.60938,1.33594,4.62695,0,0,0,3850.75391,1561.91406,1563.91016,0,0,0,0
935487408,71,0,13215.42578,59.14453,4936.63281,2145.26563,0,1066.625,24959.67969,202513.7031,1313576.25,0,1,3412.33594,8.30859,13.3418,0,0,0,0
935491007,22,0,16835.86719,1420.62891,224.41406,61.98438,0,934.27344,16.74609,17.60938,36762.90234,0,0,3207.42188,184.44336,186.56055,0,0,0,0
935495259,153,0,10739.01953,57.38672,4978.31641,9443.98438,0,1866.89453,16.73242,18.59766,14309.62988,0,0,3812.8125,1863.41211,1867.89648,0,0,0,0
935498398,6,0,13964.90234,48.82813,64.16406,24.73438,0,1004.39453,5.87695,6.69336,0,0,0,3387.98047,7.90625,4.3125,0,0,0,0
935499742,374,0,9544.64063,588.1875,1501.60156,8030.22266,0,1413.21094,139.53711,135.48438,0,0,0,3412.61719,8.94141,10.82617,0,0,0,0
