x,y,z
341,280,280
342,280,280
343,280,280
341,281,280
342,281,280
343,281,280
344,281,280
341,282,280
342,282,280
343,282,280
344,282,280
345,282,280
341,283,280
342,283,280
343,283,280
344,283,280
345,283,280
342,284,280
343,284,280
344,284,280
342,285,280
343,285,280
344,285,280
345,285,280
341,279,281
342,279,281
343,279,281
344,279,281
340,280,281
345,284,280
341,280,281
342,280,281
343,280,281
344,280,281
345,280,281
340,281,281
341,281,281
342,281,281
343,281,281
344,281,281
345,281,281
346,281,281
340,282,281
341,282,281
342,282,281
343,282,281
344,282,281
345,282,281
346,282,281
347,282,281
340,283,281
341,283,281
342,283,281
343,283,281
344,283,281
345,283,281
346,283,281
347,283,281
341,284,281
342,284,281
343,284,281
344,284,281
345,284,281
346,284,281
347,284,281
341,285,281
342,285,281
343,285,281
344,285,281
345,285,281
346,285,281
347,285,281
342,286,281
343,286,281
344,286,281
345,286,281
346,286,281
347,286,281
343,287,281
344,287,281
345,287,281
346,287,281
347,287,281
341,279,282
342,279,282
343,279,282
344,279,282
345,279,282
340,280,282
341,280,282
342,280,282
343,280,282
344,280,282
345,280,282
346,280,282
340,281,282
341,281,282
342,281,282
343,281,282
344,281,282
345,281,282
346,281,282
347,281,282
340,282,282
341,282,282
342,282,282
343,282,282
344,282,282
345,282,282
346,282,282
347,282,282
348,282,282
340,283,282
341,283,282
342,283,282
343,283,282
344,283,282
345,283,282
346,283,282
347,283,282
348,283,282
340,284,282
341,284,282
342,284,282
343,284,282
344,284,282
345,284,282
346,284,282
347,284,282
348,284,282
349,284,282
341,285,282
342,285,282
343,285,282
344,285,282
345,285,282
346,285,282
347,285,282
348,285,282
349,285,282
341,286,282
342,286,282
343,286,282
344,286,282
345,286,282
346,286,282
347,286,282
348,286,282
349,286,282
342,287,282
343,287,282
344,287,282
345,287,282
346,287,282
347,287,282
348,287,282
349,287,282
343,288,282
344,288,282
345,288,282
346,288,282
347,288,282
348,288,282
345,289,282
346,289,282
347,289,282
341,279,283
342,279,283
343,279,283
344,279,283
345,279,283
346,279,283
340,280,283
341,280,283
342,280,283
343,280,283
344,280,283
345,280,283
346,280,283
347,280,283
340,281,283
341,281,283
342,281,283
343,281,283
344,281,283
345,281,283
346,281,283
347,281,283
348,281,283
340,282,283
341,282,283
342,282,283
343,282,283
344,282,283
345,282,283
346,282,283
347,282,283
348,282,283
349,282,283
340,283,283
341,283,283
342,283,283
343,283,283
344,283,283
345,283,283
346,283,283
347,283,283
348,283,283
349,283,283
340,284,283
341,284,283
342,284,283
343,284,283
344,284,283
345,284,283
346,284,283
347,284,283
348,284,283
349,284,283
350,284,283
340,285,283
341,285,283
342,285,283
343,285,283
344,285,283
345,285,283
346,285,283
347,285,283
348,285,283
349,285,283
350,285,283
341,286,283
342,286,283
343,286,283
344,286,283
345,286,283
346,286,283
347,286,283
348,286,283
349,286,283
350,286,283
341,287,283
342,287,283
343,287,283
344,287,283
345,287,283
346,287,283
347,287,283
348,287,283
349,287,283
350,287,283
342,288,283
343,288,283
344,288,283
345,288,283
346,288,283
347,288,283
348,288,283
349,288,283
350,288,283
343,289,283
344,289,283
345,289,283
346,289,283
347,289,283
348,289,283
349,289,283
350,289,283
344,290,283
345,290,283
346,290,283
347,290,283
348,290,283
349,290,283
341,279,284
342,279,284
343,279,284
344,279,284
345,279,284
346,279,284
347,279,284
341,280,284
342,280,284
343,280,284
344,280,284
345,280,284
346,280,284
347,280,284
348,280,284
340,281,284
341,281,284
342,281,284
343,281,284
344,281,284
345,281,284
346,281,284
347,281,284
348,281,284
349,281,284
340,282,284
341,282,284
342,282,284
343,282,284
344,282,284
345,282,284
346,282,284
347,282,284
348,282,284
349,282,284
350,282,284
340,283,284
341,283,284
342,283,284
343,283,284
344,283,284
345,283,284
346,283,284
347,283,284
348,283,284
349,283,284
350,283,284
340,284,284
341,284,284
342,284,284
343,284,284
344,284,284
345,284,284
346,284,284
347,284,284
348,284,284
349,284,284
350,284,284
351,284,284
340,285,284
341,285,284
342,285,284
343,285,284
344,285,284
345,285,284
346,285,284
347,285,284
348,285,284
349,285,284
350,285,284
351,285,284
341,286,284
342,286,284
343,286,284
344,286,284
345,286,284
346,286,284
347,286,284
348,286,284
349,286,284
350,286,284
351,286,284
341,287,284
342,287,284
343,287,284
344,287,284
345,287,284
346,287,284
347,287,284
348,287,284
349,287,284
350,287,284
351,287,284
342,288,284
343,288,284
344,288,284
345,288,284
346,288,284
347,288,284
348,288,284
349,288,284
350,288,284
351,288,284
343,289,284
344,289,284
345,289,284
346,289,284
347,289,284
348,289,284
349,289,284
350,289,284
351,289,284
343,290,284
344,290,284
345,290,284
346,290,284
347,290,284
348,290,284
349,290,284
350,290,284
351,290,284
345,291,284
346,291,284
347,291,284
348,291,284
349,291,284
350,291,284
349,292,284
342,279,285
343,279,285
344,279,285
345,279,285
346,279,285
347,279,285
341,280,285
342,280,285
343,280,285
344,280,285
345,280,285
346,280,285
347,280,285
348,280,285
341,281,285
342,281,285
343,281,285
344,281,285
345,281,285
346,281,285
347,281,285
348,281,285
349,281,285
340,282,285
341,282,285
342,282,285
343,282,285
344,282,285
345,282,285
346,282,285
347,282,285
348,282,285
349,282,285
350,282,285
340,283,285
341,283,285
342,283,285
343,283,285
344,283,285
345,283,285
346,283,285
347,283,285
348,283,285
349,283,285
350,283,285
351,283,285
340,284,285
341,284,285
342,284,285
343,284,285
344,284,285
345,284,285
346,284,285
347,284,285
348,284,285
349,284,285
350,284,285
351,284,285
352,284,285
340,285,285
341,285,285
342,285,285
343,285,285
344,285,285
345,285,285
346,285,285
347,285,285
348,285,285
349,285,285
350,285,285
351,285,285
352,285,285
341,286,285
342,286,285
343,286,285
344,286,285
345,286,285
346,286,285
347,286,285
348,286,285
349,286,285
350,286,285
351,286,285
352,286,285
341,287,285
342,287,285
343,287,285
344,287,285
345,287,285
346,287,285
347,287,285
348,287,285
349,287,285
350,287,285
351,287,285
352,287,285
342,288,285
343,288,285
344,288,285
345,288,285
346,288,285
347,288,285
348,288,285
349,288,285
350,288,285
351,288,285
352,288,285
342,289,285
343,289,285
344,289,285
345,289,285
346,289,285
347,289,285
348,289,285
349,289,285
350,289,285
351,289,285
352,289,285
343,290,285
344,290,285
345,290,285
346,290,285
347,290,285
348,290,285
349,290,285
350,290,285
351,290,285
352,290,285
344,291,285
345,291,285
346,291,285
347,291,285
348,291,285
349,291,285
350,291,285
351,291,285
352,291,285
345,292,285
346,292,285
347,292,285
348,292,285
349,292,285
350,292,285
351,292,285
343,279,286
344,279,286
345,279,286
346,279,286
347,279,286
342,280,286
343,280,286
344,280,286
345,280,286
346,280,286
347,280,286
348,280,286
349,280,286
341,281,286
342,281,286
343,281,286
344,281,286
345,281,286
346,281,286
347,281,286
348,281,286
349,281,286
350,281,286
341,282,286
342,282,286
343,282,286
344,282,286
345,282,286
346,282,286
347,282,286
348,282,286
349,282,286
350,282,286
351,282,286
341,283,286
342,283,286
343,283,286
344,283,286
345,283,286
346,283,286
347,283,286
348,283,286
349,283,286
350,283,286
351,283,286
352,283,286
341,284,286
342,284,286
343,284,286
344,284,286
345,284,286
346,284,286
347,284,286
348,284,286
349,284,286
350,284,286
351,284,286
352,284,286
341,285,286
342,285,286
343,285,286
344,285,286
345,285,286
346,285,286
347,285,286
348,285,286
349,285,286
350,285,286
351,285,286
352,285,286
353,285,286
341,286,286
342,286,286
343,286,286
344,286,286
345,286,286
346,286,286
347,286,286
348,286,286
349,286,286
350,286,286
351,286,286
352,286,286
353,286,286
341,287,286
342,287,286
343,287,286
344,287,286
345,287,286
346,287,286
347,287,286
348,287,286
349,287,286
350,287,286
351,287,286
352,287,286
353,287,286
342,288,286
343,288,286
344,288,286
345,288,286
346,288,286
347,288,286
348,288,286
349,288,286
350,288,286
351,288,286
352,288,286
353,288,286
342,289,286
343,289,286
344,289,286
345,289,286
346,289,286
347,289,286
348,289,286
349,289,286
350,289,286
